Statistics for the A* algorithm

Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 20, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 5, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 20, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 35, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 65, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 50, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 35, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 95, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 95, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 95, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 95, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 95, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 95, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 95, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 95, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 95, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 95, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 95, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 95, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 95, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 80, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 95, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 95, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 80, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 95, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 95, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 80, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
